state,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,UP,RIGHT,DOWN,LEFT,WAIT,BOMB,best_action,best_q_value
"('BOMBING', 'DOWN', 13, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,DOWN,13,GOOD_HIGH,UNNECESSARY,RIGHT,0.0,0.0,1.0679411,0.0,-0.051,-0.00109,DOWN,1.0679411
"('BOMBING', 'LEFT', 8, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",BOMBING,LEFT,8,UNAVAILABLE,UNNECESSARY,LEFT,-0.04617513,-2.7027102,0.8598375,3.604916,0.3528129,0.17691384,LEFT,3.604916
"('BOMBING', 'LEFT', 10, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",BOMBING,LEFT,10,UNAVAILABLE,UNNECESSARY,UP,0.0,-0.0209,0.0,1.0827401,0.0,-0.101,LEFT,1.0827401
"('BOMBING', 'LEFT', 12, 'USELESS', 'UNNECESSARY', 'RIGHT')",BOMBING,LEFT,12,USELESS,UNNECESSARY,RIGHT,-0.10023855,-0.101,0.28657764,0.0,-0.051,0.0,DOWN,0.28657764
"('BOMBING', 'LEFT', 12, 'USELESS', 'UNNECESSARY', 'UP')",BOMBING,LEFT,12,USELESS,UNNECESSARY,UP,-0.101,0.0,-0.034461,1.0176804,0.0,-0.151,LEFT,1.0176804
"('BOMBING', 'DOWN', 6, 'GOOD_LOW', 'UNNECESSARY', 'LEFT')",BOMBING,DOWN,6,GOOD_LOW,UNNECESSARY,LEFT,0.0,0.0,0.0,0.047606204,0.0,1.732833,BOMB,1.732833
"('ESCAPE', 'RIGHT', 6, 'UNAVAILABLE', 'UNNECESSARY', 'DOWN')",ESCAPE,RIGHT,6,UNAVAILABLE,UNNECESSARY,DOWN,-1.3623421,0.10900411,2.0979724,-0.5407363,0.104066886,0.23456857,DOWN,2.0979724
"('BOMBING', 'UP', 3, 'GOOD_LOW', 'UNNECESSARY', 'LEFT')",BOMBING,UP,3,GOOD_LOW,UNNECESSARY,LEFT,0.0,0.05988981,-0.10083702,0.0,0.0,1.4315611,BOMB,1.4315611
"('ESCAPE', 'RIGHT', 3, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",ESCAPE,RIGHT,3,UNAVAILABLE,UNNECESSARY,UP,0.16039684,1.7959462,-1.4416147,-0.64953285,-0.0044929944,-0.078327,RIGHT,1.7959462
"('BOMBING', 'UP', 1, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",BOMBING,UP,1,UNAVAILABLE,UNNECESSARY,RIGHT,0.9882777,-0.101,-0.16928838,-0.0285149,0.0,-0.101,UP,0.9882777
"('BOMBING', 'UP', 1, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",BOMBING,UP,1,UNAVAILABLE,UNNECESSARY,LEFT,0.9948699,0.0,-1.201,0.0,-0.051,-0.101,UP,0.9948699
"('BOMBING', 'UP', 5, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",BOMBING,UP,5,UNAVAILABLE,UNNECESSARY,BOMB,1.0199246,-0.19117099,-0.0078655835,-0.101,-0.10594447,-0.101,UP,1.0199246
"('BOMBING', 'LEFT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",BOMBING,LEFT,2,UNAVAILABLE,UNNECESSARY,RIGHT,-0.16460082,0.32016838,0.42515808,-3.5523365,1.9445897,-0.25378594,WAIT,1.9445897
"('COIN', 'DOWN', 4, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",COIN,DOWN,4,UNAVAILABLE,UNNECESSARY,RIGHT,0.0,0.0,1.5459721,0.0,0.0,0.0,DOWN,1.5459721
"('COIN', 'RIGHT', 3, 'GOOD_LOW', 'UNNECESSARY', 'LEFT')",COIN,RIGHT,3,GOOD_LOW,UNNECESSARY,LEFT,0.0,-0.016,0.0,-0.101,-0.051,0.0,UP,0.0
"('COIN', 'RIGHT', 10, 'USELESS', 'UNNECESSARY', 'DOWN')",COIN,RIGHT,10,USELESS,UNNECESSARY,DOWN,0.0,1.279074,-0.101,-0.011,-0.036313683,-0.15064673,RIGHT,1.279074
"('COIN', 'DOWN', 0, 'UNAVAILABLE', 'NECESSARY', 'UP')",COIN,DOWN,0,UNAVAILABLE,NECESSARY,UP,-0.17304814,-0.12573276,-3.25471,-0.1919,1.2342259,-0.1919,WAIT,1.2342259
"('NONE', 'NONE', 5, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",NONE,NONE,5,UNAVAILABLE,UNNECESSARY,UP,0.1967442,-0.21285832,0.87579405,-0.30522817,-0.045704808,-0.6157584,DOWN,0.87579405
"('BOMBING', 'UP', 5, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",BOMBING,UP,5,UNAVAILABLE,UNNECESSARY,LEFT,0.9645006,-0.101,0.104846455,-0.101,0.0,0.0,UP,0.9645006
"('BOMBING', 'UP', 3, 'GOOD_LOW', 'UNNECESSARY', 'DOWN')",BOMBING,UP,3,GOOD_LOW,UNNECESSARY,DOWN,0.0,0.0,-0.101,0.0,-0.051,0.088480145,BOMB,0.088480145
"('BOMBING', 'UP', 3, 'GOOD_LOW', 'UNNECESSARY', 'WAIT')",BOMBING,UP,3,GOOD_LOW,UNNECESSARY,WAIT,0.0,0.0,-0.101,0.0,0.0,0.0,UP,0.0
"('COIN', 'LEFT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",COIN,LEFT,2,UNAVAILABLE,UNNECESSARY,RIGHT,-0.12949082,1.7901889,-0.00690341,-3.05471,0.26631492,-0.22181624,RIGHT,1.7901889
"('COIN', 'LEFT', 10, 'GOOD_HIGH', 'UNNECESSARY', 'LEFT')",COIN,LEFT,10,GOOD_HIGH,UNNECESSARY,LEFT,-0.26655272,0.15037242,-0.32824054,2.010458,-0.04641345,0.243275,LEFT,2.010458
"('COIN', 'UP', 4, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",COIN,UP,4,UNAVAILABLE,UNNECESSARY,LEFT,-1.201,0.0,0.4871584,0.0,0.0,-0.101,DOWN,0.4871584
"('COIN', 'UP', 5, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",COIN,UP,5,UNAVAILABLE,UNNECESSARY,BOMB,0.8547751,-0.101,-0.008498533,-0.101,-0.036721535,-0.18785025,UP,0.8547751
"('COIN', 'UP', 5, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",COIN,UP,5,GOOD_HIGH,UNNECESSARY,WAIT,1.1025381,-0.101,-0.011,0.0,0.0,0.0,UP,1.1025381
"('COIN', 'UP', 1, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",COIN,UP,1,GOOD_HIGH,UNNECESSARY,RIGHT,0.0,-0.09542579,0.0,0.0,-0.051,0.3274048,BOMB,0.3274048
"('COIN', 'UP', 1, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",COIN,UP,1,GOOD_HIGH,UNNECESSARY,WAIT,0.0,-0.101,-0.101,-0.101,-0.051,0.57631135,BOMB,0.57631135
"('COIN', 'LEFT', 8, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",COIN,LEFT,8,UNAVAILABLE,UNNECESSARY,LEFT,0.30823877,-3.8302388,0.00013295913,0.18114221,2.3316038,-0.07571118,WAIT,2.3316038
"('BOMBING', 'UP', 9, 'GOOD_LOW', 'UNNECESSARY', 'RIGHT')",BOMBING,UP,9,GOOD_LOW,UNNECESSARY,RIGHT,1.0320765,0.0,0.0,0.10967283,0.0,0.28055525,UP,1.0320765
"('BOMBING', 'UP', 5, 'USELESS', 'UNNECESSARY', 'WAIT')",BOMBING,UP,5,USELESS,UNNECESSARY,WAIT,0.92989063,0.0,0.0,-0.101,0.0,0.0,UP,0.92989063
"('BOMBING', 'UP', 9, 'GOOD_LOW', 'UNNECESSARY', 'DOWN')",BOMBING,UP,9,GOOD_LOW,UNNECESSARY,DOWN,0.36951736,-0.10019,-0.101,-0.011269232,-0.051,0.0,UP,0.36951736
"('BOMBING', 'UP', 3, 'GOOD_HIGH', 'UNNECESSARY', 'NONE')",BOMBING,UP,3,GOOD_HIGH,UNNECESSARY,NONE,0.0,0.0,0.0,-0.10019,0.0,1.2470312,BOMB,1.2470312
"('COIN', 'DOWN', 5, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",COIN,DOWN,5,GOOD_HIGH,UNNECESSARY,DOWN,0.060340516,-0.27821887,1.7635932,-0.2030918,-0.051,0.28054768,DOWN,1.7635932
"('COIN', 'DOWN', 5, 'USELESS', 'UNNECESSARY', 'UP')",COIN,DOWN,5,USELESS,UNNECESSARY,UP,0.14155391,-0.21228877,1.2676351,-0.11174543,-0.016176276,-0.19176494,DOWN,1.2676351
"('BOMBING', 'HERE', 4, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",BOMBING,HERE,4,UNAVAILABLE,UNNECESSARY,BOMB,-1.2909865,-0.101,0.23583035,-0.101,-0.05148141,-0.101,DOWN,0.23583035
"('BOMBING', 'LEFT', 11, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",BOMBING,LEFT,11,UNAVAILABLE,UNNECESSARY,LEFT,0.084564015,0.5949589,0.099,0.0,-0.051,0.0,RIGHT,0.5949589
"('BOMBING', 'LEFT', 12, 'UNSAFE', 'UNNECESSARY', 'UP')",BOMBING,LEFT,12,UNSAFE,UNNECESSARY,UP,-0.101,0.0,0.0,0.3587056,-0.051,0.0,LEFT,0.3587056
"('BOMBING', 'LEFT', 12, 'GOOD_LOW', 'UNNECESSARY', 'UP')",BOMBING,LEFT,12,GOOD_LOW,UNNECESSARY,UP,-0.101,-0.14407475,-0.03188731,1.0144178,-0.051,0.0,LEFT,1.0144178
"('COIN', 'RIGHT', 0, 'UNAVAILABLE', 'NECESSARY', 'LEFT')",COIN,RIGHT,0,UNAVAILABLE,NECESSARY,LEFT,-0.121039115,-1.201,-0.101,-0.09199,1.533394,-0.101,WAIT,1.533394
"('COIN', 'RIGHT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",COIN,RIGHT,2,UNAVAILABLE,UNNECESSARY,LEFT,-0.32993796,-0.87135226,-0.33272386,-0.7631816,-0.5752471,-0.3366373,UP,-0.32993796
"('COIN', 'DOWN', 12, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",COIN,DOWN,12,GOOD_HIGH,UNNECESSARY,WAIT,0.0,-0.101,0.0,0.0,0.0,0.0,UP,0.0
"('BOMBING', 'HERE', 4, 'UNAVAILABLE', 'UNNECESSARY', 'DOWN')",BOMBING,HERE,4,UNAVAILABLE,UNNECESSARY,DOWN,0.0,0.0,1.265151,0.0,-0.001202289,0.0,DOWN,1.265151
"('BOMBING', 'HERE', 5, 'UNAVAILABLE', 'UNNECESSARY', 'WAIT')",BOMBING,HERE,5,UNAVAILABLE,UNNECESSARY,WAIT,0.0,0.0,0.9581614,-0.07111148,-0.051,0.0,DOWN,0.9581614
"('BOMBING', 'DOWN', 4, 'GOOD_HIGH', 'UNNECESSARY', 'BOMB')",BOMBING,DOWN,4,GOOD_HIGH,UNNECESSARY,BOMB,0.0,-0.101,0.0,0.0,-0.051,0.0,UP,0.0
"('BOMBING', 'DOWN', 4, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,DOWN,4,GOOD_HIGH,UNNECESSARY,RIGHT,0.0,0.0,0.2447729,0.0,0.0,0.0,DOWN,0.2447729
"('BOMBING', 'LEFT', 9, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",BOMBING,LEFT,9,GOOD_HIGH,UNNECESSARY,DOWN,0.0,-0.055091064,0.0,0.10804975,-0.096090004,1.8153102,BOMB,1.8153102
"('BOMBING', 'LEFT', 9, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",BOMBING,LEFT,9,GOOD_HIGH,UNNECESSARY,WAIT,0.0,0.0,0.0,0.09767492,0.0,0.0,LEFT,0.09767492
"('BOMBING', 'LEFT', 9, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,LEFT,9,GOOD_HIGH,UNNECESSARY,RIGHT,-0.011,0.0,0.0,0.55838615,0.0,0.0,LEFT,0.55838615
"('BOMBING', 'LEFT', 11, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",BOMBING,LEFT,11,GOOD_HIGH,UNNECESSARY,DOWN,-0.02779329,0.057728145,-0.101,1.067655,0.0,0.0,LEFT,1.067655
"('BOMBING', 'UP', 0, 'UNAVAILABLE', 'NECESSARY', 'DOWN')",BOMBING,UP,0,UNAVAILABLE,NECESSARY,DOWN,-1.201,-0.4208356,-0.670894,-0.51848716,1.8474514,-0.35441017,WAIT,1.8474514
"('BOMBING', 'HERE', 1, 'UNAVAILABLE', 'UNNECESSARY', 'WAIT')",BOMBING,HERE,1,UNAVAILABLE,UNNECESSARY,WAIT,0.96348184,-0.16040775,-0.065011196,-0.22603491,-0.11478393,-0.33576012,UP,0.96348184
"('BOMBING', 'RIGHT', 6, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",BOMBING,RIGHT,6,GOOD_HIGH,UNNECESSARY,WAIT,0.0,0.04652512,0.0,0.0,0.0,0.0,RIGHT,0.04652512
"('BOMBING', 'DOWN', 14, 'USELESS', 'UNNECESSARY', 'RIGHT')",BOMBING,DOWN,14,USELESS,UNNECESSARY,RIGHT,-0.032010183,0.0,1.0768648,-0.040606547,0.0,-0.087072045,DOWN,1.0768648
"('BOMBING', 'HERE', 13, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",BOMBING,HERE,13,GOOD_HIGH,UNNECESSARY,DOWN,-0.036,-0.08403059,0.0,0.089142896,-0.072941914,1.1308503,BOMB,1.1308503
"('BOMBING', 'DOWN', 5, 'GOOD_LOW', 'UNNECESSARY', 'WAIT')",BOMBING,DOWN,5,GOOD_LOW,UNNECESSARY,WAIT,0.0,0.0,0.5410005,-0.101,0.0,0.0,DOWN,0.5410005
"('BOMBING', 'DOWN', 5, 'GOOD_LOW', 'UNNECESSARY', 'LEFT')",BOMBING,DOWN,5,GOOD_LOW,UNNECESSARY,LEFT,-0.011,-0.101,-0.044007108,-0.101,-0.048435476,0.63363963,BOMB,0.63363963
"('BOMBING', 'DOWN', 5, 'GOOD_LOW', 'UNNECESSARY', 'RIGHT')",BOMBING,DOWN,5,GOOD_LOW,UNNECESSARY,RIGHT,0.0,0.0,0.33347616,-0.09924447,0.0,-0.001184851,DOWN,0.33347616
"('ESCAPE', 'RIGHT', 10, 'UNAVAILABLE', 'UNNECESSARY', 'WAIT')",ESCAPE,RIGHT,10,UNAVAILABLE,UNNECESSARY,WAIT,-0.101,0.5801664,0.17323877,0.0,0.0,0.0,RIGHT,0.5801664
"('COIN', 'DOWN', 5, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",COIN,DOWN,5,UNAVAILABLE,UNNECESSARY,RIGHT,-0.011,-0.12740248,1.7596403,-1.2918999,-0.051,0.0,DOWN,1.7596403
"('COIN', 'DOWN', 5, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",COIN,DOWN,5,UNAVAILABLE,UNNECESSARY,LEFT,-0.011,-0.101,1.3422705,-0.098732,-0.05019,0.0,DOWN,1.3422705
"('COIN', 'RIGHT', 2, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",COIN,RIGHT,2,UNAVAILABLE,UNNECESSARY,RIGHT,0.07448034,0.19765413,0.5373215,-2.4744391,2.3929136,0.055725344,WAIT,2.3929136
"('COIN', 'RIGHT', 10, 'UNAVAILABLE', 'UNNECESSARY', 'DOWN')",COIN,RIGHT,10,UNAVAILABLE,UNNECESSARY,DOWN,-0.1919,1.266621,0.0,-0.011,0.0,-0.101,RIGHT,1.266621
"('COIN', 'RIGHT', 10, 'USELESS', 'UNNECESSARY', 'UP')",COIN,RIGHT,10,USELESS,UNNECESSARY,UP,-0.12117992,1.4309541,-0.101,0.0,-0.051,-0.14967282,RIGHT,1.4309541
"('COIN', 'RIGHT', 10, 'USELESS', 'UNNECESSARY', 'WAIT')",COIN,RIGHT,10,USELESS,UNNECESSARY,WAIT,-0.101,1.2160262,0.0,0.0,0.0,0.0,RIGHT,1.2160262
"('COIN', 'RIGHT', 1, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",COIN,RIGHT,1,UNAVAILABLE,UNNECESSARY,LEFT,1.0068694,-1.201,-0.101,-0.096451096,-0.051,-0.101,UP,1.0068694
"('COIN', 'DOWN', 5, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",COIN,DOWN,5,UNAVAILABLE,UNNECESSARY,UP,0.13701339,0.0,1.2945743,-0.101,0.025168678,-0.26701692,DOWN,1.2945743
"('COIN', 'RIGHT', 3, 'USELESS', 'UNNECESSARY', 'DOWN')",COIN,RIGHT,3,USELESS,UNNECESSARY,DOWN,0.0,1.470883,0.032448675,0.0,0.0,0.0,RIGHT,1.470883
"('COIN', 'RIGHT', 10, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",COIN,RIGHT,10,GOOD_HIGH,UNNECESSARY,RIGHT,-0.18070626,1.6783668,-0.23166423,0.3459288,0.05577509,0.12816365,RIGHT,1.6783668
"('COIN', 'RIGHT', 11, 'USELESS', 'UNNECESSARY', 'RIGHT')",COIN,RIGHT,11,USELESS,UNNECESSARY,RIGHT,0.0,1.5549304,0.045135997,0.035031106,-0.11642701,-0.06380146,RIGHT,1.5549304
"('ESCAPE', 'UP', 11, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",ESCAPE,UP,11,UNAVAILABLE,UNNECESSARY,BOMB,1.2899861,0.5781942,-0.6306988,0.4084465,0.053025052,-0.22862102,UP,1.2899861
"('COIN', 'RIGHT', 8, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",COIN,RIGHT,8,UNAVAILABLE,UNNECESSARY,LEFT,0.05190286,-3.25471,0.4998362,2.2087657,0.1782603,-0.08561962,LEFT,2.2087657
"('COIN', 'RIGHT', 10, 'UNAVAILABLE', 'UNNECESSARY', 'BOMB')",COIN,RIGHT,10,UNAVAILABLE,UNNECESSARY,BOMB,0.0,0.6507478,-0.101,0.0,0.0,0.0,RIGHT,0.6507478
"('COIN', 'RIGHT', 10, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",COIN,RIGHT,10,GOOD_HIGH,UNNECESSARY,DOWN,-0.101,0.0,-0.101,-0.0073850574,-0.096090004,0.37406427,BOMB,0.37406427
"('COIN', 'RIGHT', 10, 'GOOD_HIGH', 'UNNECESSARY', 'WAIT')",COIN,RIGHT,10,GOOD_HIGH,UNNECESSARY,WAIT,0.0,1.0853674,0.0,0.0,0.0,0.0,RIGHT,1.0853674
"('COIN', 'UP', 13, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",COIN,UP,13,GOOD_HIGH,UNNECESSARY,RIGHT,1.7486677,0.0,0.04843064,0.0,0.0,0.00854816,UP,1.7486677
"('COIN', 'UP', 5, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",COIN,UP,5,GOOD_HIGH,UNNECESSARY,RIGHT,0.0,-0.101,0.0,0.0,0.0,0.4674964,BOMB,0.4674964
"('COIN', 'UP', 5, 'GOOD_LOW', 'UNNECESSARY', 'RIGHT')",COIN,UP,5,GOOD_LOW,UNNECESSARY,RIGHT,0.46539894,-0.101,-0.101900004,-0.1919,-0.051,0.0,UP,0.46539894
"('COIN', 'UP', 5, 'GOOD_LOW', 'UNNECESSARY', 'WAIT')",COIN,UP,5,GOOD_LOW,UNNECESSARY,WAIT,0.18487981,0.0,0.0,0.0,0.0,0.0,UP,0.18487981
"('COIN', 'RIGHT', 6, 'ATTACK', 'UNNECESSARY', 'UP')",COIN,RIGHT,6,ATTACK,UNNECESSARY,UP,0.0,0.0,0.0,-0.101,-0.051,0.77172107,BOMB,0.77172107
"('ESCAPE', 'RIGHT', 6, 'ATTACK', 'UNNECESSARY', 'LEFT')",ESCAPE,RIGHT,6,ATTACK,UNNECESSARY,LEFT,-0.101,0.0,-0.001,-0.101,-0.051,0.23399845,BOMB,0.23399845
"('COIN', 'DOWN', 5, 'GOOD_LOW', 'UNNECESSARY', 'DOWN')",COIN,DOWN,5,GOOD_LOW,UNNECESSARY,DOWN,0.13939776,-0.2580018,1.4992541,-0.2670454,-0.0079047065,0.35068536,DOWN,1.4992541
"('COIN', 'DOWN', 5, 'GOOD_LOW', 'UNNECESSARY', 'WAIT')",COIN,DOWN,5,GOOD_LOW,UNNECESSARY,WAIT,-0.001,0.0,0.8619162,0.0,0.0,0.0,DOWN,0.8619162
"('ESCAPE', 'RIGHT', 6, 'GOOD_HIGH', 'UNSAFE', 'UP')",ESCAPE,RIGHT,6,GOOD_HIGH,UNSAFE,UP,0.0,0.06946621,-0.001,-0.601,0.0,-0.501,RIGHT,0.06946621
"('COIN', 'UP', 4, 'GOOD_LOW', 'UNNECESSARY', 'DOWN')",COIN,UP,4,GOOD_LOW,UNNECESSARY,DOWN,0.0,-0.101,0.21443787,0.0,-0.0488049,0.0,DOWN,0.21443787
"('COIN', 'UP', 5, 'GOOD_LOW', 'UNNECESSARY', 'LEFT')",COIN,UP,5,GOOD_LOW,UNNECESSARY,LEFT,0.7089021,-0.101,-0.011,0.0,0.0,0.0,UP,0.7089021
"('COIN', 'UP', 1, 'ATTACK', 'UNNECESSARY', 'DOWN')",COIN,UP,1,ATTACK,UNNECESSARY,DOWN,-0.001,-0.101,-0.07046841,-0.16127211,-0.051,0.89966357,BOMB,0.89966357
"('ESCAPE', 'UP', 1, 'ATTACK', 'UNNECESSARY', 'DOWN')",ESCAPE,UP,1,ATTACK,UNNECESSARY,DOWN,-0.001,0.0,0.0,0.0,0.0,1.4245448,BOMB,1.4245448
"('ESCAPE', 'RIGHT', 14, 'GOOD_LOW', 'UNNECESSARY', 'UP')",ESCAPE,RIGHT,14,GOOD_LOW,UNNECESSARY,UP,-0.101,0.056313056,0.0,0.0,0.0,0.0,RIGHT,0.056313056
"('ESCAPE', 'RIGHT', 10, 'GOOD_LOW', 'UNNECESSARY', 'UP')",ESCAPE,RIGHT,10,GOOD_LOW,UNNECESSARY,UP,-0.101,0.150572,0.0,0.0,0.0,0.0,RIGHT,0.150572
"('ESCAPE', 'RIGHT', 10, 'GOOD_LOW', 'UNSAFE', 'UP')",ESCAPE,RIGHT,10,GOOD_LOW,UNSAFE,UP,0.0,0.121131845,0.0,-0.001,0.0,0.0,RIGHT,0.121131845
"('COIN', 'RIGHT', 8, 'USELESS', 'UNNECESSARY', 'LEFT')",COIN,RIGHT,8,USELESS,UNNECESSARY,LEFT,-0.101,0.0,-0.101,1.0488219,-0.051,-0.45171133,LEFT,1.0488219
"('ESCAPE', 'UP', 7, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",ESCAPE,UP,7,UNAVAILABLE,UNNECESSARY,RIGHT,0.54028994,0.4844175,1.127841,-0.7691867,0.42645672,0.080311134,DOWN,1.127841
"('COIN', 'UP', 4, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",COIN,UP,4,UNAVAILABLE,UNNECESSARY,UP,-1.201,-0.101,0.630564,-0.078887194,0.0,-0.101,DOWN,0.630564
"('COIN', 'UP', 0, 'UNAVAILABLE', 'NECESSARY', 'RIGHT')",COIN,UP,0,UNAVAILABLE,NECESSARY,RIGHT,-0.501,-0.1317783,0.0,-0.09421742,0.2700601,-0.101,WAIT,0.2700601
"('BOMBING', 'RIGHT', 6, 'GOOD_HIGH', 'UNNECESSARY', 'UP')",BOMBING,RIGHT,6,GOOD_HIGH,UNNECESSARY,UP,0.0,0.0,0.20453799,-0.101,-0.050015327,1.2206798,BOMB,1.2206798
"('BOMBING', 'UP', 1, 'GOOD_HIGH', 'UNNECESSARY', 'BOMB')",BOMBING,UP,1,GOOD_HIGH,UNNECESSARY,BOMB,0.0,0.0,-0.07565458,-0.099461,0.0,0.0,UP,0.0
"('BOMBING', 'DOWN', 14, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",BOMBING,DOWN,14,UNAVAILABLE,UNNECESSARY,RIGHT,-0.029224457,0.0,1.6111242,0.05537088,-0.017423345,-0.101,DOWN,1.6111242
"('COIN', 'UP', 5, 'GOOD_HIGH', 'UNNECESSARY', 'DOWN')",COIN,UP,5,GOOD_HIGH,UNNECESSARY,DOWN,-0.016,-0.07294349,-0.0209,-0.2810837,0.0,1.2993605,BOMB,1.2993605
"('BOMBING', 'HERE', 5, 'GOOD_HIGH', 'UNNECESSARY', 'RIGHT')",BOMBING,HERE,5,GOOD_HIGH,UNNECESSARY,RIGHT,-0.012881,-0.101,-0.010441387,-0.101,-0.051,0.7520746,BOMB,0.7520746
"('COIN', 'DOWN', 8, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",COIN,DOWN,8,UNAVAILABLE,UNNECESSARY,UP,-0.07654902,-0.026890056,-1.201,0.7657473,-0.04101107,-0.101,LEFT,0.7657473
"('BOMBING', 'DOWN', 6, 'GOOD_LOW', 'UNNECESSARY', 'NONE')",BOMBING,DOWN,6,GOOD_LOW,UNNECESSARY,NONE,-0.101,-0.011217728,0.0,0.39218235,-0.051,0.0,LEFT,0.39218235
"('BOMBING', 'DOWN', 6, 'GOOD_LOW', 'UNNECESSARY', 'WAIT')",BOMBING,DOWN,6,GOOD_LOW,UNNECESSARY,WAIT,0.0,0.0,0.0,0.0,0.0,0.0042468384,BOMB,0.0042468384
"('BOMBING', 'HERE', 1, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",BOMBING,HERE,1,UNAVAILABLE,UNNECESSARY,UP,0.7197168,0.0,-1.201,-0.13536671,0.0,0.0,UP,0.7197168
"('COIN', 'LEFT', 9, 'GOOD_LOW', 'UNNECESSARY', 'DOWN')",COIN,LEFT,9,GOOD_LOW,UNNECESSARY,DOWN,0.0,-0.101,0.0,0.028143073,0.0,1.5565912,BOMB,1.5565912
"('COIN', 'LEFT', 9, 'GOOD_LOW', 'UNNECESSARY', 'RIGHT')",COIN,LEFT,9,GOOD_LOW,UNNECESSARY,RIGHT,0.0,0.0,0.0,0.0,-0.051,0.0,UP,0.0
"('COIN', 'LEFT', 9, 'GOOD_LOW', 'UNNECESSARY', 'WAIT')",COIN,LEFT,9,GOOD_LOW,UNNECESSARY,WAIT,0.0,0.0,0.0,0.00981,0.0,0.0,LEFT,0.00981
"('COIN', 'LEFT', 10, 'USELESS', 'UNNECESSARY', 'WAIT')",COIN,LEFT,10,USELESS,UNNECESSARY,WAIT,0.0,0.0,-0.101,1.4615074,0.0,-0.11153143,LEFT,1.4615074
"('COIN', 'DOWN', 4, 'UNAVAILABLE', 'UNNECESSARY', 'UP')",COIN,DOWN,4,UNAVAILABLE,UNNECESSARY,UP,-0.08955877,-0.101,1.2260902,-0.098845184,-0.051,-0.18882644,DOWN,1.2260902
"('BOMBING', 'RIGHT', 1, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",BOMBING,RIGHT,1,UNAVAILABLE,UNNECESSARY,LEFT,0.6668171,0.0,-0.101,-0.101,-0.051,-0.101,UP,0.6668171
"('BOMBING', 'HERE', 3, 'UNAVAILABLE', 'UNNECESSARY', 'LEFT')",BOMBING,HERE,3,UNAVAILABLE,UNNECESSARY,LEFT,1.1123291,0.0,-0.04857975,-0.07176812,-0.051,-0.101,UP,1.1123291
"('NONE', 'NONE', 1, 'UNAVAILABLE', 'UNNECESSARY', 'RIGHT')",NONE,NONE,1,UNAVAILABLE,UNNECESSARY,RIGHT,0.73111326,-0.1006125,-0.101,-1.201,-0.051,-0.101,UP,0.73111326
